#Coor Free
-88.562500 1.863704
-85.687500 1.432948
-82.812500 1.036204
-79.937500 0.705876
-77.062500 0.453334
-74.187500 0.253409
-71.312500 0.057036
-68.437500 0.000000
-65.562500 0.086526
-62.687500 0.117014
-59.812500 0.146125
-56.937500 0.206158
-54.062500 0.273894
-51.187500 0.354108
-48.312500 0.474792
-45.437500 0.556475
-42.562500 0.664598
-39.687500 0.820687
-36.812500 0.935966
-33.937500 1.089542
-31.062500 1.174188
-28.187500 1.137402
-25.312500 1.220457
-22.437500 1.390615
-19.562500 1.542286
-16.687500 1.703181
-13.812500 1.806404
-10.937500 1.874287
-8.062500 1.981998
-5.187500 2.104107
-2.312500 2.178870
0.562500 2.269931
3.437500 2.282730
6.312500 2.362915
9.187500 2.525945
12.062500 2.767967
14.937500 3.008795
17.812500 3.125015
20.687500 3.160220
23.562500 3.228820
#Window Free
#0 0.000000
#1 -0.598244
#2 -1.004889
#3 -1.343740
#4 -1.617618
#5 -1.839115
#6 -2.022800
#7 -2.128393
#8 -2.127231
#9 -2.079761
#10 -2.043113
#11 -1.998474
#12 -1.936757
#13 -1.861668
#14 -1.766989
#15 -1.666101
#16 -1.566121
#17 -1.442229
#18 -1.306867
#19 -1.175104
#20 -1.063629
#21 -1.021583
#22 -0.984669
#23 -0.875439
#24 -0.722671
#25 -0.568605
#26 -0.435350
#27 -0.339367
#28 -0.249057
#29 -0.141750
#30 -0.041477
#31 0.040273
#32 0.098092
#33 0.154818
#34 0.268720
#35 0.452875
#36 0.677755
#37 0.863695
#38 0.960949
#39 1.059651
#40 1.451574
