#Coor Free
-89.014085 4.471861
-87.042254 4.514291
-85.070423 4.612018
-83.098592 4.747649
-81.126761 4.817443
-79.154930 4.562611
-77.183099 4.090400
-75.211268 3.627609
-73.239437 3.234449
-71.267606 2.862938
-69.295775 2.441541
-67.323944 2.102756
-65.352113 1.839335
-63.380282 1.576618
-61.408451 1.265100
-59.436620 1.016367
-57.464789 0.880291
-55.492958 0.762140
-53.521127 0.649639
-51.549296 0.570784
-49.577465 0.463353
-47.605634 0.342397
-45.633803 0.207851
-43.661972 0.134962
-41.690141 0.062807
-39.718310 0.039696
-37.746479 0.039878
-35.774648 0.027474
-33.802817 0.000224
-31.830986 0.000000
-29.859155 0.045766
-27.887324 0.061190
-25.915493 0.048246
-23.943662 0.065155
-21.971831 0.093591
-20.000000 0.149115
-18.028169 0.215781
-16.056338 0.306057
-14.084507 0.426338
-12.112676 0.556689
-10.140845 0.669043
-8.169014 0.837772
-6.197183 1.025430
-4.225352 1.203886
-2.253521 1.383834
-0.281690 1.543582
1.690141 1.735632
3.661972 1.948341
5.633803 2.153226
7.605634 2.428950
9.577465 2.698959
11.549296 2.857720
13.521127 2.876384
15.492958 2.863112
17.464789 2.920440
19.436620 3.048617
21.408451 3.169187
23.380282 3.302655
25.352113 3.496225
27.323944 3.723434
29.295775 4.019782
31.267606 4.369767
33.239437 4.655322
35.211268 4.868591
37.183099 5.145429
39.154930 5.525608
41.126761 5.845498
43.098592 6.087004
45.070423 6.445983
47.042254 6.803000
49.014085 7.051201
#Window Free
#0 0.000000
#1 0.088139
#2 0.197812
#3 0.313429
#4 0.420906
#5 0.523173
#6 0.633472
#7 0.763635
#8 0.931240
#9 1.152852
#10 1.418524
#11 1.699926
#12 1.992834
#13 2.319716
#14 2.688464
#15 3.080887
#16 3.487387
#17 3.911036
#18 4.300089
#19 4.510282
#20 4.506039
#21 4.445304
#22 4.482207
#23 4.751252
#24 -0.061644
#25 -0.096988
#26 -0.114345
#27 -0.127425
#28 -0.137975
#29 -0.135237
#30 -0.118483
#31 -0.102923
#32 -0.093673
#33 -0.078415
#34 -0.047131
#35 0.002866
#36 0.071926
#37 0.161483
#38 0.270883
#39 0.393871
#40 0.528587
#41 0.682766
#42 0.856247
#43 1.037161
#44 1.216616
#45 1.396004
#46 1.585015
#47 1.790030
#48 2.013466
#49 2.255110
#50 2.484787
#51 2.641672
#52 2.710445
#53 2.750555
#54 2.817463
#55 2.921034
#56 3.049420
#57 3.202632
#58 3.391893
#59 3.624972
#60 3.902597
#61 4.206730
#62 4.500395
#63 4.774012
#64 5.061839
#65 5.380548
#66 5.702613
#67 6.013987
#68 6.338869
#69 6.699449
#70 7.164222
