#Coor Free
-129.010989 9.615163
-127.032967 8.608557
-125.054945 7.750921
-123.076923 7.055424
-121.098901 6.397931
-119.120879 5.615505
-117.142857 4.790324
-115.164835 4.098128
-113.186813 3.592565
-111.208791 3.186748
-109.230769 2.811799
-107.252747 2.423658
-105.274725 2.016488
-103.296703 1.676291
-101.318681 1.375516
-99.340659 1.060822
-97.362637 0.781900
-95.384615 0.538114
-93.406593 0.295950
-91.428571 0.080774
-89.450549 0.036735
-87.472527 0.143171
-85.494505 0.171845
-83.516484 0.187508
-81.538462 0.238591
-79.560440 0.362148
-77.582418 0.484524
-75.604396 0.602094
-73.626374 0.626489
-71.648352 0.506090
-69.670330 0.370437
-67.692308 0.214431
-65.714286 0.119339
-63.736264 0.087206
-61.758242 0.044257
-59.780220 0.000000
-57.802198 0.007446
-55.824176 0.032704
-53.846154 0.040499
-51.868132 0.051863
-49.890110 0.111686
-47.912088 0.241595
-45.934066 0.444701
-43.956044 0.652334
-41.978022 0.783312
-40.000000 0.893075
-38.021978 0.934343
-36.043956 0.904511
-34.065934 0.900482
-32.087912 0.919156
-30.109890 0.976505
-28.131868 1.075693
-26.153846 1.189494
-24.175824 1.268906
-22.197802 1.281698
-20.219780 1.275064
-18.241758 1.314009
-16.263736 1.377035
-14.285714 1.467237
-12.307692 1.548889
-10.329670 1.634544
-8.351648 1.759248
-6.373626 1.931660
-4.395604 2.137201
-2.417582 2.329611
-0.439560 2.496234
1.538462 2.706901
3.516484 2.908718
5.494505 3.068079
7.472527 3.243559
9.450549 3.444138
11.428571 3.642363
13.406593 3.887336
15.384615 4.164718
17.362637 4.446734
19.340659 4.682341
21.318681 4.920693
23.296703 5.173118
25.274725 5.366715
27.252747 5.550721
29.230769 5.715101
31.208791 5.868579
33.186813 6.117051
35.164835 6.485585
37.142857 6.835750
39.120879 7.124754
41.098901 7.422719
43.076923 7.705780
45.054945 8.029234
47.032967 8.415277
49.010989 8.816149
#Window Free
#0 0.000000
#1 -0.192608
#2 -0.386808
#3 -0.577078
#4 -0.767985
#5 -0.952579
#6 -1.113255
#7 -1.241052
#8 -1.342238
#9 -1.429684
#10 -1.507491
#11 -1.568308
#12 -1.605963
#13 -1.628751
#14 -1.663763
#15 -1.732237
#16 -1.822413
#17 -1.905087
#18 -1.960800
#19 -1.986383
#20 -1.991660
#21 -2.002401
#22 -2.053685
#23 -2.160782
#24 -2.316148
#25 -2.494021
#26 -2.653319
#27 -2.765696
#28 -2.828646
#29 -2.858190
#30 -2.874646
#31 -2.884384
#32 -2.877911
#33 -2.850528
#34 -2.808392
#35 -2.747906
#36 -2.655005
#37 -2.532711
#38 -2.412609
#39 -2.346087
#40 -2.370587
#41 -2.462352
#42 -2.569077
#43 -2.654472
#44 -2.708677
#45 -2.748751
#46 -2.787984
#47 -2.795060
#48 -2.722439
#49 -2.561403
#50 -2.341027
#51 -2.089741
#52 -1.814663
#53 -1.517107
#54 -1.200685
#55 -0.859869
#56 -0.489099
#57 -0.100151
#58 0.296175
#59 0.716036
#60 1.195705
#61 1.769281
#62 2.447107
#63 3.198149
#64 3.957021
#65 4.689164
#66 5.395377
#67 5.778894
#68 0.183417
#69 0.366662
#70 0.561648
#71 0.774622
#72 1.012183
#73 1.272773
#74 1.539861
#75 1.796547
#76 2.041588
#77 2.274354
#78 2.485098
#79 2.673277
#80 2.852276
#81 3.050367
#82 3.300544
#83 3.608069
#84 3.939212
#85 4.257958
#86 4.561776
#87 4.868061
#88 5.197693
#89 5.555566
#90 5.778894
